POS_P3_A1	POS_P3_A5	POS_P3_B1	POS_P3_B5	POS_P3_C1	POS_P3_E3	POS_P3_E4	POS_P3_F3	POS_P3_F4	POS_P3_G3	POS_P3_G4	POS_P3_H3	POS_P3_H4
26	19	23	16	22	40	57	17	21	40	12	63	8
23	14	30	11	9	46	42	24	29	23	7	39	1
0	0	1	0	1	0	0	0	0	0	0	0	0
0	0	2	1	0	4	0	2	1	0	0	1	0
1	0	0	0	0	5	0	2	0	5	1	12	0
283	221	255	137	164	2686	547	794	249	2240	83	2610	52
1	0	1	0	0	1	1	2	0	2	0	5	0
16	16	19	3	10	66	21	75	16	53	5	47	2
67	41	76	36	23	234	128	206	74	212	16	235	10
6	3	3	3	6	15	6	13	4	30	2	22	1
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
35	25	38	13	36	132	58	69	36	97	11	110	3
83	69	122	61	77	486	184	338	136	527	41	620	32
4	0	3	1	2	4	2	0	4	0	1	4	3
0	0	0	0	0	2	0	1	0	2	0	2	0
1	0	1	0	1	6	0	1	0	6	0	6	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	1	0	0	2	1	0	0
0	0	0	1	0	0	1	0	0	2	0	0	0
0	0	0	0	0	0	0	0	0	1	0	0	0
